Информацията е актуална към 10.06.2022 г.,,,,,,
Рег. №,Дата на регистрация,Модел,Сериен №,Рег. знак,Категория ВС,Основание за придобиване на права
3061,6/1/22,Airbus A330-243,0392,LZ-DAY,Large Aeroplane,Holdership Agreement
2838,5/31/22,P92S Echo,00771,LZ-DBB,Small Aeroplane,Purchase and Sale Agreement
3059,5/31/22,Boeing B737-800,36820,LZ-DCH,Large Aeroplane,Holdership Agreement
3058,5/26/22,VL-3TE-915,VL-3-448,LZ-BSJ,Small Aeroplane,Purchase and Sale Agreement
3057,5/23/22,TL-3000 Sirius,11-SI-46,LZ-313,Small Aeroplane,Bill of sale
3056,5/20/22,Airbus A320-232,2322,LZ-EAC,Large Aeroplane,Lease contract
3055,5/20/22,Airbus A320-232,2717,LZ-EAD,Large Aeroplane,Lease contract
3054,5/17/22,Airbus A320-214,02540,LZ-LAH,Large Aeroplane,Lease contract
3053,5/16/22,Boeing 737-430,27003,LZ-GPA,Large Aeroplane,Lease contract
3052,5/12/22,CT,99-12-05-79,LZ-PAA,Very Light Aeroplane,Purchase and Sale Agreement
3051,5/11/22,Zlin 242L Zeus ,0855,LZ-AFU,Small Aeroplane,Operating Agreement
3050,5/11/22,Zlin 242 L Zeus ,0854,LZ-AFA,Small Aeroplane,Operating Agreement
3049,5/3/22,Airbus A330-243 ,0248,LZ-DCE,Large Aeroplane,Holdership Agreement
2839,4/21/22,Airbus A320-232 ,2457,LZ-BHM,Large Aeroplane,Lease contract
3047,4/19/22,Airbus A321-211 ,A1503,LZ-MDL,Large Aeroplane,Lease contract
3045,4/8/22,Boeing B737-800 ,A28616,LZ-CXB,Large Aeroplane,Lease contract
3044,4/5/22,Boeing 737-300 ,28332,LZ-CPA,Large Aeroplane,Holdership Agreement
2264,4/5/22,M18A ,1Z015-13,LZ-DRB,Small Aeroplane,Purchase and Sale Agreement
2263,4/5/22,M18A ,1Z020-26,LZ-DRA,Small Aeroplane,Purchase and Sale Agreement
2374,4/4/22,P2002-JR ,196,LZ-DEG,Small Aeroplane,Purchase and Sale Agreement
2843,4/4/22,Boeing 737-400 ,25188,LZ-TER,Large Aeroplane,Lease contract
2985,4/1/22,AVRO 146-RJ70 ,E1258,LZ-BRU,Large Aeroplane,Lease contract
2772,3/18/22,MTOsport (2017) ,M01578,LZ-TEK,Gyroplane,Purchase and Sale Agreement
2761,3/10/22,Boeing 737-300 ,25414,LZ-TYR,Large Aeroplane,Holdership Agreement
3034,3/9/22,Skypper 582 HP Xtrem Rouge ,T21022,LZ-LIO,Motor-hanglider,Purchase and Sale Agreement
3012,3/8/22,Airbus A320-232 ,2908,LZ-DBT,Large Aeroplane,Lease contract
2475,2/22/22,Ikarus C 42 B ,1102-7132,LZ-DEM,Very Light Aeroplane,Purchase and Sale Agreement
3026,2/17/22,Airbus A320-214 ,2140,LZ-DCC,Large Aeroplane,Holdership Agreement
3028,1/31/22,Airbus A319-111,5130,LZ-MAK,Large Aeroplane,Bill of sale
3027,1/21/22,Airbus A320-232,6136,LZ-DCD,Large Aeroplane,Holdership Agreement
2644,1/19/22,SZD-30 Pirat ,S-0503,LZ-PMP,Sailplane,Purchase and Sale Agreement
3011,1/14/22,Boeing B737-800,33003,LZ-MRX,Large Aeroplane,Holdership Agreement
3022,12/6/21,Boeing 737-800 ,28374,LZ-CGB,Large Aeroplane,Lease contract
3021,12/6/21,Boeing 737-86N ,34251,LZ-GNC,Large Aeroplane,Holdership Agreement
3020,12/6/21,RX-8,RX8-3129,LZ-MVS,Hot-air Balloon,Bill of sale
3019,12/2/21,Airbus A321-211 ,1451,LZ-MDF,Large Aeroplane,Lease contract
3018,12/2/21,Airbus A319-111 ,4875,LZ-MAD,Large Aeroplane,Bill of sale
3017,26.11.2021,Clipper II,11924,LZ-HAT,Small Aeroplane,Purchase and Sale Agreement
3015,19.11.2021,VL-3E-1,416,LZ-SOT,Small Aeroplane,Purchase and Sale Agreement
3014,16.11.2021,Airbus A319-111,04859,LZ-MAA,Large Aeroplane,Bill of sale
3013,11.11.2021,Antonov An-2,1G21621,LZ-1234,Small Aeroplane,Purchase and Sale Agreement
2753,06.10.2021,Cessna 525,525-0090,LZ-DIN,Small Aeroplane,Purchase and Sale Agreement
3005,01.10.2021,P2006T,340,LZ-DBW,Small Aeroplane,Purchase and Sale Agreement
2799,21.9.2021,"Piper PA-22 ""160""",22-6874,LZ-DPW,Small Aeroplane,Purchase and Sale Agreement
2603,20.9.2021,Cessna TR182,R18201656,LZ-VVS,Small Aeroplane,Purchase and Sale Agreement
3002,17.9.2021,Embraer EMB-505,50500628,LZ-JET,Large Aeroplane,Lease contract
2918,13.8.2021,Airbus A321-211,01713,LZ-GNH,Large Aeroplane,Purchase and Sale Agreement
2997,12.8.2021,ATR 72-212A,1077,LZ-DBM,Large Aeroplane,Holdership Agreement
2996,12.8.2021,ATR 72-212A,1091,LZ-DBN,Large Aeroplane,Holdership Agreement
2995,11.8.2021,Boeing 737-800,28826,LZ-CXA,Large Aeroplane,Lease contract
2993,10.8.2021,Boeing 737-800,29670,LZ-GNK,Large Aeroplane,Holdership Agreement
2991,30.7.2021,EMB-505,50500624,LZ-EGT,Large Aeroplane,Lease contract
2633,26.7.2021,390 (Premier I),RB-125,LZ-PDM,Small Aeroplane,Lease contract
2988,26.7.2021,Motor-handglider,001,LZ-RAI,Motor-hanglider,Property declaration
2986,22.7.2021,Cessna F-150L,849,LZ-ENG,Small Aeroplane,Purchase and Sale Agreement
2984,22.7.2021,Airbus A320-214,07238,LZ-FBH,Large Aeroplane,Lease contract
2982,08.7.2021,Cessna 560XL,560-5727,LZ-CVA,Small Aeroplane,Purchase and Sale Agreement
2981,1.7.2021,VL-3E-1,395,LZ-RIR,Small Aeroplane,Bill of sale
2980,1.7.2021,FC-5 Bllizard,001,LZ-KPY,Small Aeroplane,Property declaration
2979,30.6.2021,Airbus A320-214,07264,LZ-FBI,Large Aeroplane,Lease contract
2911,24.6.2021,Cessna 550 Citation Bravo,550-0972,LZ-VJT,Large Aeroplane,Purchase and Sale Agreement
2781,24.6.2021,Piaggio P.180 Avanti II,1159,LZ-ASR,Small Aeroplane,Purchase and Sale Agreement
2978,24.6.2021,Airbus A330-243,00328,LZ-DAE,Large Aeroplane,Holdership Agreement
2974,11.6.2021,Boeing 737-809,30664,LZ-CGA,Large Aeroplane,Purchase and Sale Agreement
2246,11.6.2021,Airbus A320-214,03780,LZ-FBE,Large Aeroplane,Lease contract
2973,02.6.2021,Steen Skybolt,002,LZ-DPS,Experimental,Purchase and Sale Agreement
2827,25.5.2021,Cessna U-206 D,U206-01287,LZ-KPR,Small Aeroplane,Purchase and Sale Agreement
2969,18.5.2021,Airbus A320-214,07345,LZ-FBK,Large Aeroplane,Lease contract
2967,13.5.2021,Gyroplane Cavalon,V00430,LZ-NUR,Gyroplane,Purchase and Sale Agreement
2968,13.5.2021,Piper PA-28RT-201T,28-R-813112,LZ-DEN,Small Aeroplane,Purchase and Sale Agreement
2793,12.5.2021,ADler,AD 180401,LZ-NRP,Paramotor-Trike,Purchase and Sale Agreement
2689,28.4.2021,Airbus A320-231,00259,LZ-LAE,Large Aeroplane,Purchase and Sale Agreement
2668,28.4.2021,Airbus A320-231,00321,LZ-LAG,Large Aeroplane,Purchase and Sale Agreement
2657,28.4.2021,Airbus A320-231,00296,LZ-LAC,Large Aeroplane,Purchase and Sale Agreement
2656,28.4.2021,Airbus A320-231,00353,LZ-LAD,Large Aeroplane,Purchase and Sale Agreement
2653,28.4.2021,Airbus A320-231,00276,LZ-LAB,Large Aeroplane,Purchase and Sale Agreement
2572,28.4.2021,Airbus A320-231,00256,LZ-LAA,Large Aeroplane,Purchase and Sale Agreement
2434,28.4.2021,Mc Donnell Douglas-80 MD-82,53230,LZ-LDJ,Large Aeroplane,Purchase and Sale Agreement
2433,28.4.2021,Mc Donnell Douglas-80 MD-82,53218,LZ-LDS,Large Aeroplane,Purchase and Sale Agreement
2424,28.4.2021,DC-9-82  (MD-82),53058,LZ-LDT,Large Aeroplane,Purchase and Sale Agreement
2423,28.4.2021,DC-9-82  (MD-82),53204,LZ-LDU,Large Aeroplane,Purchase and Sale Agreement
2299,28.4.2021,Mc Donnell Douglas-80 MD-82,53216,LZ-LDN,Large Aeroplane,Purchase and Sale Agreement
2288,28.4.2021,Mc Donnell Douglas-80 MD-82,49795,LZ-LDW,Large Aeroplane,Purchase and Sale Agreement
2287,28.4.2021,Mc Donnell Douglas-80 MD-82,49973,LZ-LDP,Large Aeroplane,Purchase and Sale Agreement
2286,28.4.2021,Mc Donnell Douglas-80 MD-82,53228,LZ-LDM,Large Aeroplane,Purchase and Sale Agreement
2372,13.4.2021,Cessna 172 M,172-65263,LZ-GIN,Small Aeroplane,Purchase and Sale Agreement
2928,31.3.2021,ATR 72-212A ‘600 version’,1371,LZ-DAI,Large Aeroplane,Lease contract
2927,31.3.2021,ATR 72-212A ‘600 version’,1352,LZ-DAJ,Large Aeroplane,Lease contract
2926,31.3.2021,ATR 72-212A ‘600 version’,1312,LZ-DAH,Large Aeroplane,Lease contract
2940,30.3.2021,Airbus A320-214,06012,LZ-FBG,Large Aeroplane,Lease contract
2884,26.2.2021,Airbus A330-223,00874,LZ-AWZ,Large Aeroplane,Purchase and Sale Agreement
2403,24.2.2021,Mi-8T,99357636,LZ-CAN,Rotorcraft,Purchase and Sale Agreement
2253,24.2.2021,Airbus A319-112,03188,LZ-AOB,Large Aeroplane,Purchase and Sale Agreement
1922,24.2.2021,Falcon 2000,123,LZ-OOI,Large Aeroplane,Purchase and Sale Agreement
1285,24.2.2021,Mi-8,10319,LZ-CAT,Rotorcraft,Purchase and Sale Agreement
2929,15.2.2021,Airbus A330-243,00326,LZ-DAA,Large Aeroplane,Purchase and Sale Agreement
2923,18.1.2021,Beechcraft C90A,LJ-1718,LZ-HKC,Small Aeroplane,Purchase and Sale Agreement
2922,15.1.2021,Boeing 737-49R,28882,LZ-CGY,Large Aeroplane,Purchase and Sale Agreement
2507,04.12.2020,ZENAIR CH 701 SP, 7-9557,LZ-KLV,Very Light Aeroplane,Purchase and Sale Agreement
2916,27.11.2020,LBL 150 A ,1209,LZ-RMX,Hot-air Balloon,Purchase and Sale Agreement
2912,3.11.2020,Bell 430 ,49074,LZ-STT,Rotorcraft,Purchase and Sale Agreement
2906,15.10.2020,Boeing 737-400 ,24686,LZ-PRS,Large Aeroplane,Lease contract
2905,09.10.2020,Airbus A320-233,03378,LZ-MDI,Large Aeroplane,Lease contract
2904,7.10.2020,Tiger Moth R-80 ,TM44,LZ-TGM,Very Light,Purchase and Sale Agreement
2880,5.10.2020,Socata Rallye 110 ST,3253,LZ-SEX,Small Aeroplane,Purchase and Sale Agreement
2899,16.9.2020,Cessna TR182,R18200898,LZ-DPB,Small Aeroplane,Purchase and Sale Agreement
2859,14.9.2020,Boeing 737-300,29060,LZ-BON,Large Aeroplane,Lease contract
2902,11.9.2020,Airbus A319-131,02469,LZ-GNI,Large Aeroplane,Purchase and Sale Agreement
2898,21.8.2020,Beechcraft King Air C90A,LJ-1284,LZ-HKB,Small Aeroplane,Purchase and Sale Agreement
2896,21.8.2020,Airbus A321-231,02916,LZ-DAB,Large Aeroplane,Purchase and Sale Agreement
2107,17.8.2020,Beech Super King Air-200,BB 1369,LZ-ITV,Small Aeroplane,Lease contract
2893,11.8.2020,Airbus A330-203,00811,LZ-ONE,Large Aeroplane,Lease contract
2841,23.7.2020,Cessna 182P,182-63886,LZ-SDB,Small Aeroplane,Purchase and Sale Agreement
2891,21.7.2020,MAGNI M 24 ORION,24116324,LZ-NKC,Gyroplane,Purchase and Sale Agreement
2890,06.7.2020,Kallithea,1,LZ-NKD,Gyroplane,Purchase and Sale Agreement
2889,01.7.2020,Cessna 177,885,LZ-SSC,Small Aeroplane,Purchase and Sale Agreement
2735,11.6.2020,BD-700-1A11 (Global 5000 GVFD),9693,LZ-VBE,Large Aeroplane,Purchase and Sale Agreement
2207,03.6.2020,Airbus A319-112,03309,LZ-FBB,Large Aeroplane,Lease contract
2203,03.6.2020,Airbus A319-112,03564,LZ-FBA,Large Aeroplane,Lease contract
2340,05.5.2020,Learjet 60,60-399,LZ-TRH,Large Aeroplane,Lease contract
2613,26.3.2020,DC-9-82  (MD-82),53053,LZ-ADV,Large Aeroplane,Purchase and Sale Agreement
2605,26.3.2020,DC-9-82  (MD-82),49552,LZ-DEO,Large Aeroplane,Purchase and Sale Agreement
2879,13.3.2020,Swan II,MK05 090301,LZ-FMS,Motor-hanglider,Purchase and Sale Agreement
2878,12.3.2020,Beechcraft E90 King Air,LW-136,LZ-HKA,Small Aeroplane,Purchase and Sale Agreement
2876,02.3.2020,A320-200,02112,LZ-GNF,Large Aeroplane,Purchase and Sale Agreement
2267,25.2.2020,R44 Raven II,12525,LZ-RAT,Small Rotorcraft,Purchase and Sale Agreement
2874,22.1.2020,PA-28RT-201 Arrow IV,28R-7918101,LZ-AOI,Small Aeroplane,Purchase and Sale Agreement
2873,13.1.2020,PEGASUS QUANTUM 15,7233,LZ-MZC,Motor-hanglider,Purchase and Sale Agreement
2464,27.12.2019,Swan II,MK04 131101,LZ-XAK,Motor-hanglider,Purchase and Sale Agreement
2869,18.12.2019,Cessna 152,152-83429,LZ-JIS,Small Aeroplane,Purchase and Sale Agreement
2868,18.12.2019,Cessna 310Q,310Q0051,LZ-RDX,Small Aeroplane,Purchase and Sale Agreement
2277,18.12.2019,Cessna T206H,T20608663,LZ-RAF,Small Aeroplane,Purchase and Sale Agreement
2867,17.12.2019,Bergfalke III,SN-5626,LZ-SPL,Glider,Purchase and Sale Agreement
2866,13.12.2019,Storch,00035,LZ-JAR,Very Light Aeroplane,Purchase and Sale Agreement
2320,13.12.2019,CL-600-2B16,05768,LZ-BVD,Large Aeroplane,Lease contract
1372,02.12.2019,Antonov An-2,1G21633,LZ-1246,Small Aeroplane,Purchase and Sale Agreement
2863,29.11.2019,Breezer C,00002,LZ-BRE,Small Aeroplane,Purchase and Sale Agreement
2740,25.11.2019,Eclipser,155/134,LZ-DEA,Motor-hanglider,Purchase and Sale Agreement
2860,22.11.2019,Boeing 737-300,27955,LZ-EBB,Large Aeroplane,Lease contract
2751,05.11.2019,Jabiru 470 SP,345,LZ-EKI,Very Light Aeroplane,Purchase and Sale Agreement
2857,04.11.2019,Cessna C550 Citation Bravo,864,LZ-XYZ,Large Aeroplane,Purchase and Sale Agreement
1801,15.10.2019,Antonov An-2,1G20618,LZ-1201,Small Aeroplane,Purchase and Sale Agreement
2849,29.8.2019,TL-2 ESO-2,97T001,LZ-VBP,Motor-hanglider,Purchase and Sale Agreement
2500,27.8.2019,PA-38-112,38-79A0764,LZ-MEC,Small Aeroplane,Purchase and Sale Agreement
2846,22.8.2019,Boeing 737-446,28832,LZ-CRI,Large Aeroplane,Lease contract
1802,22.8.2019,Antonov An-2,1G20621,LZ-1204,Small Aeroplane,Purchase and Sale Agreement
2845,08.8.2019,Airbus A321-231,00811,LZ-HEA,Large Aeroplane,Purchase and Sale Agreement
2840,10.7.2019,Airbus A320-232,02987,LZ-BHL,Large Aeroplane,Lease contract
2837,26.6.2019,Cavalon,V00404,LZ-AVS,Gyroplane,Purchase and Sale Agreement
2737,22.5.2019,Cavalon,V00287,LZ-IAZ,Gyroplane,Purchase and Sale Agreement
1931,02.5.2019,Antonov An-2,1G19912,LZ-1601,Small Aeroplane,Purchase and Sale Agreement
2831,23.4.2019,P2010,00081,LZ-PYH,Small Aeroplane,Purchase and Sale Agreement
2830,19.4.2019,Boeing 737-400,28038,LZ-CGW,Large Aeroplane,Purchase and Sale Agreement
2828,08.4.2019,Swan II Skyter,MK04 030401,LZ-TDC,Motor-hanglider,Purchase and Sale Agreement
2618,28.3.2019,Airbus A320-214,00879,LZ-MDO,Large Aeroplane,Lease contract
2247,27.3.2019,R44 Raven II,12534,LZ-RAD,Small Rotorcraft,Purchase and Sale Agreement
2736,21.3.2019,Airbus A320-232,01422,LZ-MDK,Large Aeroplane,Lease contract
2165,21.3.2019,Cirrus SR 22,00488,LZ-ALA,Small Aeroplane,Purchase and Sale Agreement
2501,13.3.2019,Ula-Ikarus C42B,0603-6797,LZ-IVA,Very Light Aeroplane,Purchase and Sale Agreement
2818,01.3.2019,Airbus A320-231,00308,LZ-EAB,Large Aeroplane,Lease contract
2817,26.2.2019,Ikarus C 42 B,1101-7130,LZ-TRE,Very Light Aeroplane,Purchase and Sale Agreement
2814,19.2.2019,Swan II,MK04 070602,LZ-IVO,Motor-hanglider,Purchase and Sale Agreement
2813,13.2.2019,Boeing 737-300,28037,LZ-BVT,Large Aeroplane,Lease contract
2812,05.2.2019,Viper Trike,31-08,LZ-SIM,Motor-hanglider,Purchase and Sale Agreement
2234,30.1.2019,Airbus A320-214,02596,LZ-FBD,Large Aeroplane,Lease contract
2808,21.1.2019,Boeing 737-300,26573,LZ-LVK,Large Aeroplane,Lease contract
2802,30.11.2018,Boeing 737-300,27708,LZ-BVU,Large Aeroplane,Lease contract
2801,30.11.2018,Boeing 737-300,28036,LZ-BVS,Large Aeroplane,Lease contract
2027,07.11.2018,Antonov An-2,1G18148,LZ-1181,Small Aeroplane,Purchase and Sale Agreement
2794,26.10.2018,PA-46-350P,4636717,LZ-NEO,Small Aeroplane,Bill of sale
1168,25.9.2018,Antonov An-2,1G19160,LZ-1410,Small Aeroplane,Lease contract
2785,11.9.2018,Super Petrel - 100,S0204,LZ-GES,Very Light Aeroplane,Purchase and Sale Agreement
2596,30.8.2018,P92 S ECHO,01452,LZ-DPG,Very Light Aeroplane,Purchase and Sale Agreement
2779,24.8.2018,GEMINI FLASH IIA,812-1190-7-W605,LZ-NKB,Motor-hanglider,Purchase and Sale Agreement
2776,14.8.2018,F172L,F172-0824,LZ-SIG,Small Aeroplane,Purchase and Sale Agreement
2773,10.8.2018,Cirrus SR22,02503,LZ-SEV,Small Aeroplane,Purchase and Sale Agreement
2764,07.8.2018,MS-893-A,11446,LZ-EDG,Small Aeroplane,Purchase and Sale Agreement
2769,23.7.2018,Boeing 737-300,26571,LZ-MVK,Large Aeroplane,Lease contract
